Ponencia ,Dia,Hora de la conferencia,Total de gente,Gente grabando,Notas en telefono,Notas en papel,Otras actividades en celular,Dormidos
De cuencas a oceanos: conectando tierra y mar para un futuro sostenible,Viernes,12:10,216,5,24,14,12,0
De cuencas a oceanos: conectando tierra y mar para un futuro sostenible,Viernes,12:30,216,4,10,2,26,18
De cuencas a oceanos: conectando tierra y mar para un futuro sostenible,Viernes,12:50,216,2,5,2,30,22
"De donde viene el agua que tomamos?
",Viernes,14:10,220,2,7,26,12,10
"De donde viene el agua que tomamos?
",Viernes,14:30,205,6,5,15,23,35
"De donde viene el agua que tomamos?
",Viernes,14:50,186,6,5,23,32,14
"Conversatorio Agua pasa por mi casa
",Viernes,16:10,215,12,10,13,9,0
"Conversatorio Agua pasa por mi casa
",Viernes,16:30,212,15,9,12,10,13
"Conversatorio Agua pasa por mi casa
",Viernes,16:50,201,8,12,6,9,7
"Existe Aquaman? De la celula al organismo entero, somos seres de agua",Sabado,12:10,219,25,11,29,22,0
"Existe Aquaman? De la celula al organismo entero, somos seres de agua",Sabado,12:30,219,32,10,9,18,16
"Existe Aquaman? De la celula al organismo entero, somos seres de agua",Sabado,12:50,214,5,4,6,15,24
Pensar con el agua en clave feminista,Sabado,14:10,215,6,11,4,12,5
Pensar con el agua en clave feminista,Sabado,14:30,214,4,9,4,12,21
Pensar con el agua en clave feminista,Sabado,14:50,201,6,11,3,18,13
"Explorando mundos acuaticos: agua mas alla de la tierra
",Sabado,16:10,213,8,14,6,6,0
"Explorando mundos acuaticos: agua mas alla de la tierra
",Sabado,16:30,213,24,6,10,10,5
"Explorando mundos acuaticos: agua mas alla de la tierra
",Sabado,16:50,208,16,5,4,8,9
