nombre,dia,hora,total_people,recording,notes_on_phone,notes_on_paper,other_phone_activities,sleep
A,Viernes,12:10,216,5,24,14,12,0
A,Viernes,12:30,216,4,10,2,26,18
A,Viernes,12:50,216,2,5,2,30,22
B,Viernes,14:10,220,2,7,26,12,10
B,Viernes,14:30,205,6,5,15,23,35
B,Viernes,14:50,186,6,5,23,32,14
B,Viernes,16:10,215,12,10,13,9,0
C,Viernes,16:30,212,15,9,12,10,13
"C
",Viernes,16:50,201,8,12,6,9,7
D,Sabado,12:10,219,25,11,29,22,0
D,Sabado,12:30,219,32,10,9,18,16
D,Sabado,12:50,214,5,4,6,15,24
"E
",Sabado,14:10,215,6,11,4,12,5
"E
",Sabado,14:30,214,4,9,4,12,21
"E
",Sabado,14:50,201,6,11,3,18,13
"F
",Sabado,16:10,213,8,14,6,6,0
"F
",Sabado,16:30,213,24,6,10,10,5
"F
",Sabado,16:50,208,16,5,4,8,9
